INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at java.lang.Thread.run(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | Caused by: org.opencloudb.config.util.ConfigException: org.xml.sax.SAXParseException; lineNumber: 23; columnNumber: 13; 元素类型为 "dataHost" 的内容必须匹配 "(heartbeat,connectionInitSql*,writeHost+)"。
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:111)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:71)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.config.loader.xml.XMLSchemaLoader.<init>(XMLSchemaLoader.java:75)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.ConfigInitializer.<init>(ConfigInitializer.java:63)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.MycatConfig.<init>(MycatConfig.java:69)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.MycatServer.<init>(MycatServer.java:105)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.MycatServer.<clinit>(MycatServer.java:73)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	... 7 more
INFO   | jvm 1    | 2019/03/16 09:54:39 | Caused by: org.xml.sax.SAXParseException; lineNumber: 23; columnNumber: 13; 元素类型为 "dataHost" 的内容必须匹配 "(heartbeat,connectionInitSql*,writeHost+)"。
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.util.ErrorHandlerWrapper.createSAXParseException(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.util.ErrorHandlerWrapper.error(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.XMLErrorReporter.reportError(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.XMLErrorReporter.reportError(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.XMLErrorReporter.reportError(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDValidator.handleEndElement(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDValidator.endElement(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl.scanEndElement(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$FragmentContentDriver.next(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.XMLDocumentScannerImpl.next(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl.scanDocument(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.parsers.XML11Configuration.parse(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.parsers.XML11Configuration.parse(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.parsers.XMLParser.parse(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.parsers.DOMParser.parse(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderImpl.parse(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at javax.xml.parsers.DocumentBuilder.parse(Unknown Source)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.config.util.ConfigUtil.getDocument(ConfigUtil.java:114)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	at org.opencloudb.config.loader.xml.XMLSchemaLoader.load(XMLSchemaLoader.java:104)
INFO   | jvm 1    | 2019/03/16 09:54:39 | 	... 13 more
INFO   | jvm 1    | 2019/03/16 09:54:41 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
STATUS | wrapper  | 2019/03/16 09:54:41 | <-- Wrapper Stopped
ERROR  | wrapper  | 2019/03/16 09:54:42 | The Mycat-server service was launched, but failed to start.
STATUS | wrapper  | 2019/03/16 09:55:31 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/03/16 09:55:31 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/03/16 09:55:31 | Launching a JVM...
INFO   | jvm 1    | 2019/03/16 09:55:32 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/03/16 09:55:32 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/03/16 09:55:32 | 
INFO   | jvm 1    | 2019/03/16 09:55:33 | log4j 2019-03-16 09:55:33 [./conf/log4j.xml] load completed.
INFO   | jvm 1    | 2019/03/16 09:55:33 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2019/03/16 09:55:36 | Mycat-server started.
STATUS | wrapper  | 2019/03/16 09:59:04 | Stopping the Mycat-server service...
INFO   | jvm 1    | 2019/03/16 09:59:06 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
STATUS | wrapper  | 2019/03/16 09:59:06 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/03/16 09:59:07 | Mycat-server stopped.
STATUS | wrapper  | 2019/03/16 09:59:09 | Starting the Mycat-server service...
STATUS | wrapper  | 2019/03/16 09:59:09 | --> Wrapper Started as Service
STATUS | wrapper  | 2019/03/16 09:59:09 | Launching a JVM...
INFO   | jvm 1    | 2019/03/16 09:59:10 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/03/16 09:59:10 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/03/16 09:59:10 | 
INFO   | jvm 1    | 2019/03/16 09:59:11 | log4j 2019-03-16 09:59:11 [./conf/log4j.xml] load completed.
INFO   | jvm 1    | 2019/03/16 09:59:11 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2019/03/16 09:59:14 | Mycat-server started.
STATUS | wrapper  | 2019/03/16 10:03:11 | Stopping the Mycat-server service...
INFO   | jvm 1    | 2019/03/16 10:03:12 | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
STATUS | wrapper  | 2019/03/16 10:03:12 | <-- Wrapper Stopped
STATUS | wrapper  | 2019/03/16 10:03:14 | Mycat-server stopped.
